GEOIDFQ,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1500000US270030510022,Block Group 2; Census Tract 510.02; Anoka County; Minnesota,740,117,10,17,7,11,0,10,31,30,12,19,10,16,17,19,10,16,40,42,56,37,67,54,121,92,119,59,48,31,149,83,43,27
1500000US270030511011,Block Group 1; Census Tract 511.01; Anoka County; Minnesota,592,152,0,10,0,10,18,31,43,68,47,73,0,10,24,39,14,21,0,10,36,41,120,73,155,123,15,23,105,123,0,10,15,24
1500000US270030511012,Block Group 2; Census Tract 511.01; Anoka County; Minnesota,384,107,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,50,82,0,10,0,10,60,57,20,28,42,33,86,64,126,61
1500000US270030511013,Block Group 3; Census Tract 511.01; Anoka County; Minnesota,687,157,0,10,0,10,0,10,0,10,17,31,17,29,55,45,0,10,181,142,70,67,63,63,72,70,125,125,27,33,60,63,0,10
1500000US270030511014,Block Group 4; Census Tract 511.01; Anoka County; Minnesota,433,143,0,10,0,10,0,10,0,10,0,10,18,28,0,10,0,10,37,41,27,36,58,49,94,79,67,58,46,72,10,24,76,65
1500000US270030511021,Block Group 1; Census Tract 511.02; Anoka County; Minnesota,345,146,10,15,0,10,24,40,9,14,0,10,0,10,0,10,0,10,9,13,24,29,8,13,54,40,41,41,9,13,127,130,30,27
1500000US270030511022,Block Group 2; Census Tract 511.02; Anoka County; Minnesota,483,107,10,16,0,10,12,18,8,13,22,26,9,15,4,6,68,58,5,9,20,24,59,56,60,33,34,31,73,50,89,61,10,14
1500000US270030511023,Block Group 3; Census Tract 511.02; Anoka County; Minnesota,224,108,0,10,10,16,10,16,0,10,0,10,0,10,0,10,5,8,9,15,11,18,83,89,72,58,0,10,0,10,24,29,0,10
1500000US270030511024,Block Group 4; Census Tract 511.02; Anoka County; Minnesota,560,111,15,18,23,23,17,18,0,10,15,24,36,36,8,13,17,26,13,19,42,43,57,43,99,59,32,29,61,48,85,50,40,23
1500000US270030511031,Block Group 1; Census Tract 511.03; Anoka County; Minnesota,390,109,0,10,16,21,79,57,12,19,0,10,0,10,16,27,20,30,24,26,0,10,0,10,21,28,104,56,41,36,47,41,10,16
1500000US270030511032,Block Group 2; Census Tract 511.03; Anoka County; Minnesota,568,125,42,43,13,20,4,6,0,10,0,10,15,24,11,16,28,31,0,10,17,22,74,64,94,89,115,68,30,34,84,48,41,36
1500000US270030511033,Block Group 3; Census Tract 511.03; Anoka County; Minnesota,254,102,9,15,0,10,17,28,0,10,0,10,0,10,12,19,0,10,24,34,24,29,108,69,42,38,0,10,11,17,7,17,0,10
1500000US270030512011,Block Group 1; Census Tract 512.01; Anoka County; Minnesota,490,105,0,10,0,10,7,11,0,10,27,35,26,21,37,37,0,10,88,77,23,25,50,57,33,34,48,47,29,28,0,10,122,63
1500000US270030512012,Block Group 2; Census Tract 512.01; Anoka County; Minnesota,396,124,83,92,0,10,27,28,10,16,48,74,0,10,0,10,0,10,89,88,22,25,17,29,63,45,19,28,0,10,18,21,0,10
1500000US270030512013,Block Group 3; Census Tract 512.01; Anoka County; Minnesota,914,177,0,10,24,29,0,10,31,29,42,43,22,33,19,33,37,56,32,40,16,24,321,138,111,85,165,111,72,81,15,18,7,12
1500000US270030512021,Block Group 1; Census Tract 512.02; Anoka County; Minnesota,862,136,0,10,0,10,10,15,13,16,103,109,71,55,64,66,33,40,33,33,36,32,228,107,96,66,29,31,52,47,76,54,18,39
1500000US270030512022,Block Group 2; Census Tract 512.02; Anoka County; Minnesota,758,137,64,47,45,47,113,77,12,18,5,10,35,46,0,10,6,10,6,9,80,71,58,42,96,56,98,60,53,55,70,52,17,21
1500000US270030512031,Block Group 1; Census Tract 512.03; Anoka County; Minnesota,555,157,16,26,0,10,19,30,0,10,0,10,0,10,32,34,27,29,16,25,33,39,43,44,242,152,65,59,0,10,0,10,62,75
1500000US270030512032,Block Group 2; Census Tract 512.03; Anoka County; Minnesota,692,172,0,10,0,10,19,32,19,31,107,141,0,10,0,10,81,67,29,34,51,44,108,80,46,38,79,72,70,63,0,10,83,54
1500000US270030512033,Block Group 3; Census Tract 512.03; Anoka County; Minnesota,409,195,0,10,15,23,0,10,0,10,0,10,0,10,0,10,13,21,0,10,0,10,36,38,110,143,56,50,17,27,14,23,148,109
1500000US270030512034,Block Group 4; Census Tract 512.03; Anoka County; Minnesota,803,140,50,74,0,10,39,44,0,10,36,55,17,28,0,10,0,10,32,37,17,26,16,31,194,104,107,73,12,18,92,68,191,113
1500000US270030512061,Block Group 1; Census Tract 512.06; Anoka County; Minnesota,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US270030512062,Block Group 2; Census Tract 512.06; Anoka County; Minnesota,437,114,12,19,0,10,12,19,0,10,0,10,53,61,82,96,12,17,20,24,86,67,48,54,47,35,36,30,0,10,29,29,0,10
1500000US270030512063,Block Group 3; Census Tract 512.06; Anoka County; Minnesota,326,98,16,18,0,10,38,58,0,10,7,12,19,22,30,46,33,46,53,57,9,18,25,52,60,49,21,22,7,11,8,13,0,10
1500000US270030512064,Block Group 4; Census Tract 512.06; Anoka County; Minnesota,366,105,0,10,10,15,0,10,0,10,11,17,11,18,0,10,39,60,0,10,43,51,15,20,128,95,40,35,21,23,48,54,0,10
1500000US270030513021,Block Group 1; Census Tract 513.02; Anoka County; Minnesota,434,146,17,21,0,10,62,99,32,52,24,26,0,10,51,57,7,12,10,16,9,14,45,52,60,43,32,43,24,26,10,16,51,37
1500000US270030513022,Block Group 2; Census Tract 513.02; Anoka County; Minnesota,796,120,106,116,15,23,66,65,7,12,65,96,0,10,0,10,45,54,39,37,31,39,40,49,71,62,79,58,13,21,83,72,136,68
1500000US270030513023,Block Group 3; Census Tract 513.02; Anoka County; Minnesota,544,116,0,10,10,18,0,10,12,19,12,19,0,10,0,10,55,57,9,15,21,24,29,34,62,46,52,54,106,65,92,69,84,78
1500000US270030513041,Block Group 1; Census Tract 513.04; Anoka County; Minnesota,329,62,7,9,0,10,0,10,7,10,14,22,11,17,18,22,12,18,11,18,48,42,48,33,64,42,6,10,23,21,32,23,28,32
1500000US270030513042,Block Group 2; Census Tract 513.04; Anoka County; Minnesota,628,133,5,8,42,54,0,10,0,10,70,64,12,10,0,10,9,15,23,25,34,27,135,60,123,99,70,60,30,24,23,18,52,38
1500000US270030513051,Block Group 1; Census Tract 513.05; Anoka County; Minnesota,434,103,0,10,0,10,0,10,24,35,8,12,0,10,23,22,10,15,7,12,36,31,56,32,66,43,70,79,79,35,38,30,17,25
1500000US270030513052,Block Group 2; Census Tract 513.05; Anoka County; Minnesota,434,95,0,10,8,13,9,13,41,49,0,10,0,10,0,10,40,37,0,10,52,42,51,43,100,51,21,23,50,47,55,34,7,10
1500000US270030513053,Block Group 3; Census Tract 513.05; Anoka County; Minnesota,357,75,12,8,18,17,32,27,8,8,15,21,2,5,22,19,23,20,25,17,92,58,53,38,39,23,4,6,9,16,3,6,0,10
1500000US270030514001,Block Group 1; Census Tract 514; Anoka County; Minnesota,374,110,13,20,6,10,0,10,13,24,17,26,0,10,16,24,15,24,0,10,13,22,92,92,52,45,31,49,37,40,13,15,56,56
1500000US270030514002,Block Group 2; Census Tract 514; Anoka County; Minnesota,1139,258,149,124,21,34,79,102,15,23,12,15,110,97,25,28,25,37,0,10,66,66,91,74,138,73,92,72,39,58,155,90,122,107
1500000US270030514003,Block Group 3; Census Tract 514; Anoka County; Minnesota,248,76,0,10,12,24,0,10,49,56,0,10,0,10,10,15,8,16,16,26,16,25,0,10,76,47,29,40,0,10,28,30,4,7
1500000US270030514004,Block Group 4; Census Tract 514; Anoka County; Minnesota,516,193,44,50,7,13,140,149,0,10,8,14,0,10,0,10,39,54,20,32,0,10,87,80,23,29,36,42,20,27,92,83,0,10
1500000US270030515011,Block Group 1; Census Tract 515.01; Anoka County; Minnesota,920,155,67,52,56,80,100,91,30,41,9,17,58,41,158,81,4,8,119,112,56,67,41,36,61,62,39,37,100,90,7,11,15,30
1500000US270030515012,Block Group 2; Census Tract 515.01; Anoka County; Minnesota,563,175,50,37,9,15,11,15,30,45,10,16,21,35,0,10,12,18,9,14,10,16,68,64,154,90,115,98,24,30,40,48,0,10
1500000US270030515021,Block Group 1; Census Tract 515.02; Anoka County; Minnesota,948,207,141,189,68,41,9,16,52,44,89,81,22,23,44,35,7,12,32,31,64,50,44,31,207,87,93,64,16,24,52,36,8,13
1500000US270030515022,Block Group 2; Census Tract 515.02; Anoka County; Minnesota,570,148,19,24,0,10,0,10,0,10,0,10,0,10,0,10,9,14,10,15,0,10,32,30,96,54,21,25,97,48,140,69,146,114
1500000US270030516001,Block Group 1; Census Tract 516; Anoka County; Minnesota,613,141,0,10,9,15,0,10,15,23,0,10,16,25,18,29,0,10,0,10,33,39,37,44,64,61,98,83,78,58,154,82,91,63
1500000US270030516002,Block Group 2; Census Tract 516; Anoka County; Minnesota,344,118,0,10,0,10,0,10,0,10,0,10,50,78,0,10,0,10,28,34,19,31,0,10,68,47,11,19,50,43,27,31,91,95
1500000US270030516003,Block Group 3; Census Tract 516; Anoka County; Minnesota,556,144,0,10,69,105,0,10,0,10,0,10,0,10,0,10,0,10,18,29,14,23,31,35,83,91,95,65,49,56,95,65,102,68
1500000US270030516004,Block Group 4; Census Tract 516; Anoka County; Minnesota,402,125,69,89,0,10,0,10,0,10,0,10,0,10,26,40,0,10,0,10,43,47,36,47,53,41,41,35,19,30,74,60,41,38
1500000US270054501001,Block Group 1; Census Tract 4501; Becker County; Minnesota,300,37,12,8,4,4,3,3,18,11,14,10,11,6,4,4,12,11,10,6,28,13,33,14,53,17,29,9,24,24,33,14,12,11
1500000US270054501002,Block Group 2; Census Tract 4501; Becker County; Minnesota,378,39,13,7,5,5,14,10,14,9,26,12,23,7,15,8,8,6,9,7,28,10,35,14,52,18,49,19,21,9,36,12,30,13
1500000US270054501003,Block Group 3; Census Tract 4501; Becker County; Minnesota,476,40,9,6,11,7,23,17,20,12,7,7,18,8,17,7,9,6,31,19,30,14,66,18,81,21,68,24,17,7,34,10,35,17
1500000US270054502001,Block Group 1; Census Tract 4502; Becker County; Minnesota,623,92,47,19,9,5,15,9,16,10,29,14,8,4,21,14,34,22,26,15,28,18,111,76,88,25,53,14,51,16,42,13,45,14
1500000US270054502002,Block Group 2; Census Tract 4502; Becker County; Minnesota,310,47,14,9,5,4,10,7,3,4,9,10,5,5,19,15,14,8,15,11,14,8,40,26,65,24,26,16,32,25,27,17,12,8
1500000US270054503001,Block Group 1; Census Tract 4503; Becker County; Minnesota,557,67,24,17,17,12,12,8,11,15,18,14,29,22,17,10,15,10,8,7,56,24,30,23,76,22,90,31,40,16,75,38,39,18
1500000US270054503002,Block Group 2; Census Tract 4503; Becker County; Minnesota,279,51,3,5,2,3,4,6,14,12,4,5,10,9,16,19,13,10,9,10,10,9,25,19,61,20,46,17,28,16,24,15,10,9
1500000US270054503003,Block Group 3; Census Tract 4503; Becker County; Minnesota,535,68,12,10,24,22,16,11,7,7,8,8,3,4,22,23,29,29,27,14,42,27,42,18,86,29,54,28,55,29,64,28,44,20
1500000US270054503004,Block Group 4; Census Tract 4503; Becker County; Minnesota,747,120,25,17,47,28,6,6,46,24,84,65,27,25,36,25,41,26,33,23,93,39,69,28,61,39,94,48,35,37,27,16,23,15
1500000US270054504001,Block Group 1; Census Tract 4504; Becker County; Minnesota,730,96,37,44,16,17,10,12,15,16,31,23,38,27,23,27,11,11,8,8,94,49,62,37,97,45,80,35,50,25,56,25,102,54
1500000US270054504002,Block Group 2; Census Tract 4504; Becker County; Minnesota,433,67,14,12,7,11,4,6,6,8,0,10,0,10,8,10,12,9,15,13,34,26,45,23,64,31,51,36,27,18,73,34,73,33
1500000US270054505001,Block Group 1; Census Tract 4505; Becker County; Minnesota,298,117,63,83,50,57,0,10,0,10,0,10,26,41,22,31,24,40,28,45,19,28,20,33,20,30,26,41,0,10,0,10,0,10
1500000US270054505002,Block Group 2; Census Tract 4505; Becker County; Minnesota,1101,166,59,64,21,35,75,56,67,46,84,100,20,33,131,97,83,58,34,53,111,73,112,80,99,49,93,78,82,83,2,4,28,20
1500000US270054505003,Block Group 3; Census Tract 4505; Becker County; Minnesota,725,175,36,57,68,71,16,21,21,32,0,10,76,69,64,72,33,52,0,10,53,46,128,101,65,53,76,81,19,31,30,39,40,44
1500000US270054506001,Block Group 1; Census Tract 4506; Becker County; Minnesota,502,130,12,17,0,10,0,10,0,10,33,41,9,14,28,34,15,17,0,10,28,39,84,64,140,53,24,24,48,38,16,19,65,68
1500000US270054506002,Block Group 2; Census Tract 4506; Becker County; Minnesota,747,144,10,15,19,35,24,36,25,23,10,16,10,18,129,98,84,78,27,23,6,9,128,89,103,73,84,60,29,35,6,11,53,46
1500000US270054506003,Block Group 3; Census Tract 4506; Becker County; Minnesota,390,95,48,44,12,21,52,49,6,8,20,16,0,10,22,23,7,11,24,26,28,31,80,62,41,39,35,31,0,10,15,25,0,10
1500000US270054507001,Block Group 1; Census Tract 4507; Becker County; Minnesota,773,103,36,22,5,6,14,17,20,18,0,10,50,46,18,11,13,18,25,20,6,6,66,53,135,51,121,46,75,41,76,31,113,39
1500000US270054507002,Block Group 2; Census Tract 4507; Becker County; Minnesota,312,71,12,11,3,4,4,8,3,6,44,38,5,8,12,10,9,9,2,5,14,9,42,16,40,22,33,17,34,22,39,39,16,12
1500000US270054507003,Block Group 3; Census Tract 4507; Becker County; Minnesota,318,51,11,8,3,5,13,9,0,10,3,4,9,12,19,18,0,10,2,3,17,13,12,12,50,27,46,20,30,15,43,22,60,21
1500000US270054508001,Block Group 1; Census Tract 4508; Becker County; Minnesota,327,59,38,35,18,12,3,4,10,9,5,4,15,12,5,5,2,3,22,17,20,13,22,10,55,33,24,14,37,16,38,23,13,9
1500000US270054508002,Block Group 2; Census Tract 4508; Becker County; Minnesota,662,59,12,9,17,9,15,11,12,9,9,9,6,6,18,12,31,20,31,29,51,26,44,16,57,23,89,28,56,30,100,28,114,34
1500000US270054509001,Block Group 1; Census Tract 4509; Becker County; Minnesota,409,59,12,8,10,6,7,6,8,5,8,6,0,10,36,33,6,6,30,16,26,14,23,13,59,25,33,9,51,24,39,14,61,28
1500000US270054509002,Block Group 2; Census Tract 4509; Becker County; Minnesota,295,42,12,9,13,10,5,7,8,7,9,8,15,11,8,7,6,6,0,10,31,13,22,13,33,15,43,22,24,15,15,11,51,17
1500000US270054509003,Block Group 3; Census Tract 4509; Becker County; Minnesota,274,53,8,5,7,8,14,10,3,5,5,5,6,5,11,8,36,26,5,6,19,18,17,13,38,16,43,18,31,16,27,14,4,4
1500000US270054509004,Block Group 4; Census Tract 4509; Becker County; Minnesota,358,59,10,9,3,4,12,13,10,8,12,9,12,15,5,7,9,9,16,12,14,12,27,13,48,18,44,20,18,12,67,31,51,19
1500000US270059400001,Block Group 1; Census Tract 9400; Becker County; Minnesota,386,43,10,7,15,8,10,7,12,8,20,11,16,10,21,12,19,15,21,10,39,18,54,14,43,13,47,14,17,8,24,12,18,8
1500000US270059400002,Block Group 2; Census Tract 9400; Becker County; Minnesota,443,48,20,11,81,31,49,18,28,14,11,8,16,8,9,7,21,14,14,8,30,12,17,9,52,15,28,9,18,9,20,10,29,14
1500000US270059400003,Block Group 3; Census Tract 9400; Becker County; Minnesota,213,30,17,9,19,12,9,8,7,5,6,5,7,5,8,6,3,4,15,10,32,13,17,8,28,11,12,8,3,3,18,8,12,7
1500000US270059400004,Block Group 4; Census Tract 9400; Becker County; Minnesota,230,32,21,9,8,7,11,11,11,7,17,8,20,14,8,5,5,5,12,11,16,8,19,8,19,11,30,12,12,8,8,6,13,8
1500000US270059400005,Block Group 5; Census Tract 9400; Becker County; Minnesota,279,35,12,9,9,5,6,4,6,4,14,12,19,9,9,6,4,4,7,5,22,13,33,14,50,18,32,12,5,5,25,9,26,14
1500000US270074501011,Block Group 1; Census Tract 4501.01; Beltrami County; Minnesota,835,90,9,9,15,17,10,9,26,16,29,18,13,11,23,13,14,10,11,10,107,47,144,60,147,40,95,33,90,55,75,27,27,15
1500000US270074501021,Block Group 1; Census Tract 4501.02; Beltrami County; Minnesota,414,83,25,24,4,7,6,8,8,12,5,8,11,11,15,12,0,10,16,18,37,21,85,79,75,35,51,23,22,18,13,12,41,31
1500000US270074501022,Block Group 2; Census Tract 4501.02; Beltrami County; Minnesota,490,75,28,31,13,13,9,11,13,13,15,13,24,28,19,17,19,19,29,20,21,16,40,29,67,24,44,19,68,39,48,21,33,23
1500000US270074501023,Block Group 3; Census Tract 4501.02; Beltrami County; Minnesota,520,79,5,7,15,14,0,10,16,16,26,24,12,12,0,10,14,14,25,16,43,29,103,68,51,25,51,25,80,40,71,24,8,10
1500000US270074501024,Block Group 4; Census Tract 4501.02; Beltrami County; Minnesota,539,89,6,6,59,47,7,10,9,9,36,40,15,16,6,5,2,5,11,14,41,31,46,22,61,35,56,36,71,37,60,32,53,25
1500000US270074502011,Block Group 1; Census Tract 4502.01; Beltrami County; Minnesota,601,102,0,10,2,4,1,4,2,4,29,26,5,7,60,54,0,10,0,10,27,28,32,17,82,41,92,45,75,49,86,52,108,45
1500000US270074502021,Block Group 1; Census Tract 4502.02; Beltrami County; Minnesota,823,147,14,22,0,10,55,37,0,10,0,10,65,52,14,23,27,45,66,84,112,94,51,56,146,96,99,77,37,43,76,55,61,70
1500000US270074502022,Block Group 2; Census Tract 4502.02; Beltrami County; Minnesota,432,176,12,21,110,134,0,10,0,10,0,10,0,10,0,10,11,19,0,10,17,26,126,76,54,56,48,57,0,10,0,10,54,77
1500000US270074502023,Block Group 3; Census Tract 4502.02; Beltrami County; Minnesota,543,127,3,5,0,10,16,27,29,46,0,10,20,29,18,28,0,10,3,5,70,75,19,29,19,32,118,68,27,31,57,55,144,88
1500000US270074502024,Block Group 4; Census Tract 4502.02; Beltrami County; Minnesota,755,157,36,46,15,25,84,85,53,62,40,48,0,10,12,19,0,10,39,61,249,137,54,48,65,48,63,51,12,19,20,26,13,21
1500000US270074503001,Block Group 1; Census Tract 4503; Beltrami County; Minnesota,557,77,11,9,12,8,21,22,11,13,9,8,10,7,16,10,2,4,2,3,38,21,26,12,89,33,73,24,55,45,72,29,110,43
1500000US270074503002,Block Group 2; Census Tract 4503; Beltrami County; Minnesota,416,65,26,28,8,8,9,9,12,11,21,13,5,5,0,10,6,6,2,3,34,16,59,34,41,17,106,35,24,14,25,12,38,15
1500000US270074503003,Block Group 3; Census Tract 4503; Beltrami County; Minnesota,431,59,8,7,3,5,8,7,15,13,3,4,4,5,21,16,37,29,15,11,24,11,54,21,58,18,20,10,51,19,55,24,55,16
1500000US270074503004,Block Group 4; Census Tract 4503; Beltrami County; Minnesota,392,47,19,12,6,6,4,4,5,4,22,13,15,9,12,10,17,8,15,10,29,13,40,17,71,22,47,18,24,13,37,18,29,16
1500000US270074504001,Block Group 1; Census Tract 4504; Beltrami County; Minnesota,295,56,9,7,7,5,7,4,11,10,9,6,9,6,14,15,13,6,4,3,17,13,35,20,61,26,23,8,29,13,22,14,25,12
1500000US270074504002,Block Group 2; Census Tract 4504; Beltrami County; Minnesota,415,52,11,10,13,11,19,15,9,9,5,4,6,5,19,15,24,18,19,12,34,12,30,12,35,12,73,25,35,19,37,18,46,18
1500000US270074504003,Block Group 3; Census Tract 4504; Beltrami County; Minnesota,425,60,7,4,47,28,25,17,52,23,29,16,13,8,27,14,26,17,8,9,38,15,36,18,32,15,21,10,21,13,25,14,18,10
1500000US270074505001,Block Group 1; Census Tract 4505; Beltrami County; Minnesota,479,112,16,11,24,13,49,38,21,9,13,10,16,14,6,6,13,9,13,9,23,11,46,20,50,16,117,105,11,8,16,9,45,30
1500000US270074505002,Block Group 2; Census Tract 4505; Beltrami County; Minnesota,293,34,5,6,13,10,10,6,15,8,10,10,18,11,8,6,20,11,10,9,16,7,25,8,57,21,34,13,19,11,14,9,19,11
1500000US270074506001,Block Group 1; Census Tract 4506; Beltrami County; Minnesota,248,91,0,10,6,14,0,10,9,14,52,53,5,9,82,58,0,10,11,19,0,10,13,15,7,11,51,56,0,10,12,20,0,10
1500000US270074506002,Block Group 2; Census Tract 4506; Beltrami County; Minnesota,476,114,18,32,0,10,11,18,0,10,0,10,11,17,0,10,13,15,22,24,49,51,133,83,60,53,65,52,0,10,69,66,25,36
1500000US270074506003,Block Group 3; Census Tract 4506; Beltrami County; Minnesota,428,147,28,36,0,10,0,10,6,11,0,10,7,12,0,10,94,103,41,68,30,40,27,41,96,66,99,98,0,10,0,10,0,10
1500000US270074506004,Block Group 4; Census Tract 4506; Beltrami County; Minnesota,214,101,11,18,0,10,4,6,0,10,14,16,15,24,0,10,0,10,0,10,29,36,13,21,87,103,0,10,34,50,0,10,7,11
1500000US270074506005,Block Group 5; Census Tract 4506; Beltrami County; Minnesota,307,140,0,10,42,49,0,10,0,10,10,17,7,14,8,15,0,10,91,99,42,40,74,61,33,37,0,10,0,10,0,10,0,10
1500000US270074507031,Block Group 1; Census Tract 4507.03; Beltrami County; Minnesota,1033,192,47,32,96,56,138,106,7,11,63,40,11,14,102,84,73,69,136,103,24,23,79,75,84,63,76,51,23,31,56,49,18,19
1500000US270074507041,Block Group 1; Census Tract 4507.04; Beltrami County; Minnesota,345,117,28,50,0,10,27,30,3,6,80,94,27,32,0,10,0,10,19,32,82,63,0,10,36,39,13,21,18,25,12,19,0,10
1500000US270074507042,Block Group 2; Census Tract 4507.04; Beltrami County; Minnesota,571,131,25,30,56,46,84,80,57,55,21,35,11,20,0,10,16,19,18,28,7,12,29,26,93,66,11,16,26,23,85,85,32,29
1500000US270074507043,Block Group 3; Census Tract 4507.04; Beltrami County; Minnesota,478,110,5,9,0,10,4,6,0,10,4,9,0,10,51,41,38,35,18,28,38,32,39,27,91,48,75,46,43,44,39,29,33,29
1500000US270074507044,Block Group 4; Census Tract 4507.04; Beltrami County; Minnesota,291,111,6,9,16,25,79,83,74,70,0,10,7,11,12,20,9,14,0,10,0,10,24,27,35,28,0,10,22,19,0,10,7,14
1500000US270074507051,Block Group 1; Census Tract 4507.05; Beltrami County; Minnesota,858,81,37,26,28,30,58,48,15,24,0,10,13,15,12,17,14,18,16,19,15,20,100,37,143,60,115,39,143,48,102,42,47,32
1500000US270074507061,Block Group 1; Census Tract 4507.06; Beltrami County; Minnesota,443,95,18,16,0,10,18,24,26,28,0,10,21,29,7,10,6,9,0,10,13,15,48,39,59,44,136,84,54,33,5,9,32,26
1500000US270074507062,Block Group 2; Census Tract 4507.06; Beltrami County; Minnesota,574,98,51,43,45,48,90,54,6,11,43,30,22,21,13,14,8,12,0,10,64,43,98,59,36,28,22,20,41,35,9,14,26,23
1500000US270079400011,Block Group 1; Census Tract 9400.01; Beltrami County; Minnesota,558,166,102,74,19,33,20,28,38,43,27,42,14,22,36,41,3,5,0,10,37,38,36,43,48,47,36,45,48,54,28,35,66,73
1500000US270079400012,Block Group 2; Census Tract 9400.01; Beltrami County; Minnesota,725,155,101,67,51,54,37,44,29,38,67,58,29,33,0,10,18,22,17,22,170,129,38,46,30,36,43,36,52,48,0,10,43,53
1500000US270079400013,Block Group 3; Census Tract 9400.01; Beltrami County; Minnesota,281,92,54,46,3,4,15,24,2,3,1,4,32,49,41,48,31,36,0,10,0,10,0,10,64,54,0,10,38,40,0,10,0,10
1500000US270079400021,Block Group 1; Census Tract 9400.02; Beltrami County; Minnesota,384,48,17,10,13,10,5,5,20,13,9,7,3,5,1,3,20,10,27,14,27,14,37,16,65,22,38,15,13,9,53,18,36,12
1500000US270079400022,Block Group 2; Census Tract 9400.02; Beltrami County; Minnesota,303,40,13,11,25,12,8,6,4,4,17,12,34,26,3,5,5,5,10,7,34,18,30,14,43,16,46,17,7,5,9,9,15,11
1500000US270090201001,Block Group 1; Census Tract 201; Benton County; Minnesota,378,56,2,3,18,14,8,6,19,19,3,4,4,4,13,12,10,14,15,11,13,8,29,13,54,18,40,20,33,15,68,30,49,29
1500000US270090201002,Block Group 2; Census Tract 201; Benton County; Minnesota,394,46,10,11,2,3,2,3,17,11,8,10,4,5,5,5,19,13,10,8,33,20,41,19,38,17,45,24,56,21,65,26,39,17
1500000US270090201003,Block Group 3; Census Tract 201; Benton County; Minnesota,267,53,12,15,17,20,0,10,2,3,6,8,0,10,18,18,0,10,10,10,33,22,15,12,43,31,37,39,13,13,22,17,39,20
1500000US270090201004,Block Group 4; Census Tract 201; Benton County; Minnesota,807,87,78,47,25,26,21,25,52,38,30,23,36,38,43,32,21,15,23,20,97,49,27,17,81,33,134,78,89,41,30,20,20,12
1500000US270090201005,Block Group 5; Census Tract 201; Benton County; Minnesota,391,67,7,7,2,3,2,4,10,7,5,5,5,6,12,15,7,6,18,14,48,39,22,13,75,27,74,34,29,13,64,23,11,9
1500000US270090202021,Block Group 1; Census Tract 202.02; Benton County; Minnesota,601,64,10,9,9,9,2,2,4,3,4,4,8,7,12,7,22,14,16,9,37,19,34,14,82,24,113,32,68,24,103,26,77,22
1500000US270090202022,Block Group 2; Census Tract 202.02; Benton County; Minnesota,439,50,10,10,8,6,2,3,14,7,16,13,7,5,4,4,11,7,5,4,31,16,61,27,59,23,57,19,33,14,77,24,44,16
1500000US270090202031,Block Group 1; Census Tract 202.03; Benton County; Minnesota,746,72,15,11,13,14,9,8,5,9,5,6,9,12,3,5,22,18,13,15,62,32,43,19,139,42,176,44,69,25,120,55,43,22
1500000US270090202032,Block Group 2; Census Tract 202.03; Benton County; Minnesota,360,58,13,14,2,3,7,6,9,9,4,4,2,5,5,6,8,7,7,5,15,8,24,13,51,27,59,24,34,23,59,20,61,33
1500000US270090202051,Block Group 1; Census Tract 202.05; Benton County; Minnesota,665,124,5,11,0,10,19,24,0,10,11,18,29,24,28,22,50,48,10,18,76,59,109,66,84,45,92,81,59,43,45,34,48,36
1500000US270090202052,Block Group 2; Census Tract 202.05; Benton County; Minnesota,627,110,9,14,0,10,0,10,48,45,13,19,0,10,8,14,0,10,6,11,35,29,25,34,92,68,94,58,54,40,138,67,105,67
1500000US270090202061,Block Group 1; Census Tract 202.06; Benton County; Minnesota,713,125,0,10,28,19,14,19,29,27,4,6,13,12,7,7,22,19,89,92,106,61,32,26,116,55,75,31,40,28,101,58,37,25
